ID,J1,J2,J3,J4,J5,J6,J7,Distance,X,Y,Z,Reachable
200,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,1.20905,6.485,3.66,0.06,0
201,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,1.17575,6.125,3.62,0.06,0
202,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,1.17756,6.165,3.62,0.06,0
203,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,1.18071,6.205,3.62,0.06,0
204,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,1.18521,6.245,3.62,0.06,0
205,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,1.19103,6.285,3.62,0.06,0
206,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,1.19816,6.325,3.62,0.06,0
207,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,1.20658,6.365,3.62,0.06,0
208,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,1.21625,6.405,3.62,0.06,0
209,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,1.22715,6.445,3.62,0.06,0
210,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,1.23925,6.485,3.62,0.06,0
211,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,1.20811,6.125,3.58,0.06,0
212,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,1.20986,6.165,3.58,0.06,0
213,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,1.21293,6.205,3.58,0.06,0
214,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,1.21731,6.245,3.58,0.06,0
215,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,1.22298,6.285,3.58,0.06,0
216,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,1.22992,6.325,3.58,0.06,0
217,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,1.23812,6.365,3.58,0.06,0
218,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,1.24755,6.405,3.58,0.06,0
219,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,1.25818,6.445,3.58,0.06,0
220,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,1.26999,6.485,3.58,0.06,0
221,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.46411,6.125,4.42,1.2,1
